spatial-radial_div,spatial-radial_loy,spatial-radial_reg,weekly_div,weekly_loy,weekly_reg,hourly_div,hourly_loy,hourly_reg,spatial-grid_div,spatial-grid_loy,spatial-grid_reg,age,gender,marital,education,working,OS1Class,DaysClass1,Trouble
0.83736189,0.739130435,0.772899795,0.967353076,0.551724138,0.954046262,0.943203428,0.327586207,0.953871705,0.942479601,0.434782609,0.927302723,42,Male,Married,High School,Public Servant,1,0,0
0.72726287,0.923076923,0.880117545,0.953688329,0.567164179,0.913759123,0.953814336,0.328358209,0.973834081,0.925355587,0.435897436,0.971994379,27,Male,Single,College,Public Servant,1,0,1
0.898089846,0.875,0.965046301,0.978928343,0.611111111,0.802166856,0.934517175,0.5,0.948061274,0.970943959,0.4375,0.922296581,32,Female,Single,College,Public Servant,0,0,0
0.988608501,0.8125,0.865907485,0.913038499,0.653846154,0.845312394,0.956901788,0.384615385,0.664919513,0.96414475,0.4375,0.973339379,33,Male,Married,College,Private Sector Employee,0,1,0
0.613000142,0.96875,0.853704506,0.97474792,0.569767442,0.979805877,0.92341959,0.38372093,0.889358797,0.922016349,0.4375,0.85198062,33,Male,Single,College,Private Sector Employee,1,0,0
0.772384241,0.813953488,0.867229052,0.972737429,0.582278481,0.983156917,0.911979241,0.392405063,0.976592022,0.9092834,0.441860465,0.850319816,32,Male,Married,College,Public Servant,1,0,0
0.78169514,0.88372093,0.915790114,0.955022675,0.615384615,0.927282781,0.882489906,0.432692308,0.968959278,0.926246574,0.441860465,0.957245758,44,Male,Married,Master,Self-Employed - Service,1,0,0
0.868906588,0.657142857,0.893279074,0.982687148,0.524475524,0.94965773,0.889569595,0.447552448,0.962903048,0.867831623,0.442857143,0.81555194,35,Female,Single,College,Private Sector Employee,1,0,0
0.828871363,0.888888889,0.408656861,0.956583313,0.555555556,0.803573078,0.931460039,0.407407407,0.91854107,0.982567593,0.444444444,0.201851815,33,Male,Married,College,Private Sector Employee,1,0,0
0.715378366,0.962962963,0.797045305,0.895857653,0.69047619,0.855371171,0.949591517,0.357142857,0.780920991,0.95065238,0.444444444,0.860994861,26,Male,Single,College,Private Sector Employee,1,1,0
0.918295834,0.888888889,0.886057703,0.886299759,0.833333333,0.978778142,0.963687037,0.5,0.903001098,0.982567593,0.444444444,0.861955567,33,Male,Married,High School,Private Sector Employee,1,1,0
0.737880506,0.764705882,0.900668165,0.969798385,0.551181102,0.991152857,0.923255147,0.385826772,0.984120052,0.868653653,0.450980392,0.941621515,28,Male,Single,College,Public Servant,1,0,0
0.921090497,0.636363636,0.884178862,0.956197454,0.609756098,0.933651649,0.963807772,0.292682927,0.937563798,0.945342907,0.454545455,0.890692315,35,Male,Married,Middle School,Self-Employed - Retail,1,0,1
0.878829681,0.636363636,0.916452626,0.972141046,0.583333333,0.964587865,0.901163269,0.427083333,0.969797314,0.878709804,0.454545455,0.849924776,32,Male,Single,College,Private Sector Employee,1,0,0
0.87874099,0.818181818,0.365475147,0.960992072,0.545454545,0.661602426,0.955412658,0.409090909,0.582115519,0.976614669,0.454545455,0.963854534,20,Male,Single,High School,Private Sector Employee,1,1,0
0.870150133,0.875,0.958518824,0.92990561,0.7,0.965659249,0.946694049,0.366666667,0.934357312,0.925169296,0.458333333,0.812518092,51,Male,Married,High School,Private Sector Employee,1,1,0
NA,NA,NA,0.985395336,0.53968254,0.985763577,0.932823108,0.396825397,0.939556762,0.901165913,0.46,0.841351448,35,Male,Married,College,Public Servant,1,0,0
0.995727452,1,0.982480116,0.963535759,0.541666667,0.838681571,0.968841085,0.333333333,0.976806067,0.975006431,0.461538462,0.955367216,27,Male,Single,College,Private Sector Employee,1,0,0
0.947353968,0.769230769,0.836820102,0.959900524,0.578947368,0.843690376,0.973018605,0.368421053,0.694708582,0.95752614,0.461538462,0.971687455,41,Male,Married,High School,Self-Employed - Service,0,1,1
0.889826526,0.769230769,0.96283189,0.964956177,0.573170732,0.94884786,0.925305834,0.390243902,0.970898616,0.898407083,0.461538462,0.82017946,28,Male,Married,College,Private Sector Employee,1,1,0
0.792783067,0.857142857,0.85166815,0.977849293,0.547169811,0.891684703,0.961901675,0.264150943,0.762130252,0.902158712,0.464285714,0.787995361,45,Male,Divorced,Middle School,Private Sector Employee,1,0,0
0.865845536,0.75,0.957871112,0.901952095,0.666666667,0.973427803,0.956718606,0.333333333,0.882140162,0.909558024,0.464285714,0.823852006,49,Male,Married,College,Public Servant,1,0,0
0.885601407,0.733333333,0.962563773,0.954182489,0.59375,0.981495937,0.93754034,0.40625,0.965349197,0.960629316,0.466666667,0.821539406,45,Male,Married,Primary School,Private Sector Employee,1,0,0
0.944623214,0.866666667,0.325429472,0.963328144,0.571428571,0.795783625,0.948876387,0.371428571,0.945783167,0.946081887,0.466666667,0.232043171,43,Male,Married,College,Self-Employed - Service,1,0,0
0.643392067,0.966666667,0.83809881,0.968028257,0.56,0.768903,0.939196491,0.4,0.899904891,0.923112474,0.466666667,0.868981539,25,Female,Single,College,Public Servant,0,0,0
0.781077437,0.866666667,0.992447967,0.932332236,0.673076923,0.951236776,0.936830411,0.346153846,0.76830633,0.912419231,0.466666667,0.841984283,30,Male,Single,College,Private Sector Employee,1,0,0
0.839510965,0.84375,0.916887445,0.927888806,0.678571429,0.913990849,0.93027916,0.357142857,0.950930373,0.940218153,0.46875,0.844154053,70,Male,Married,High School,Self-Employed - Service,1,0,0
NA,NA,NA,0.962235134,0.585365854,0.988927042,0.90984244,0.402439024,0.970941298,0.89917675,0.46875,0.770964443,30,Male,Single,College,Public Servant,1,1,0
0.806754857,0.90625,0.984649849,0.959881161,0.577586207,0.977605744,0.891911093,0.370689655,0.977014684,0.876342373,0.46875,0.857533557,50,Male,Married,College,Private Sector Employee,1,0,0
0.851694233,0.78125,0.84226682,0.955045627,0.571428571,0.901496611,0.929026337,0.428571429,0.886426401,0.921691453,0.46875,0.843233919,44,Male,Married,College,Private Sector Employee,0,0,0
0.769897712,0.941176471,0.883948252,0.97455117,0.540540541,0.841999397,0.940623374,0.405405405,0.901840474,0.906448648,0.470588235,0.805271913,34,Male,Single,Primary School,Private Sector Employee,0,0,0
NA,NA,NA,0.971400044,0.579710145,0.923041409,0.939340499,0.347826087,0.836410862,0.891774652,0.472222222,0.815107738,37,Male,Divorced,High School,Public Servant,1,1,0
0.86148564,0.894736842,0.904370849,0.973844568,0.548387097,0.821849837,0.954373661,0.306451613,0.509569751,0.938947431,0.473684211,0.980661159,41,Male,Married,College,Self-Employed - Retail,1,0,0
0.665198988,0.929824561,0.82511866,0.976303622,0.566176471,0.942315263,0.927996591,0.301470588,0.976509101,0.862395874,0.473684211,0.933929172,41,Male,Married,High School,Public Servant,1,0,0
0.728210657,0.842105263,0.473112199,0.925967267,0.655172414,0.750613844,0.922793074,0.413793103,0.581909439,0.897489105,0.473684211,0.925163497,31,Male,Married,College,Private Sector Employee,0,0,1
0.761478559,0.894736842,0.45643311,0.864378076,0.730769231,0.907797565,0.927040375,0.461538462,0.915074928,0.945726493,0.473684211,0.893595155,27,Male,Married,College,Private Sector Employee,0,0,0
0.862290825,0.739130435,0.902841577,0.973644844,0.555555556,0.889613005,0.870793598,0.555555556,0.949137703,0.957055457,0.47826087,0.873726047,25,Male,Single,High School,Private Sector Employee,0,1,1
0.793404152,0.826086957,0.847636,0.919583693,0.741935484,0.910739845,0.946746373,0.419354839,0.765668571,0.94454865,0.47826087,0.776207909,49,Male,Married,Master,Private Sector Employee,0,1,0
0.770611078,0.804347826,0.90683626,0.971682608,0.535714286,0.963046448,0.896465391,0.446428571,0.956527588,0.90715631,0.47826087,0.886511234,35,Male,Married,Master,Public Servant,1,0,0
NA,NA,NA,0.959211977,0.58974359,0.995349621,0.950631215,0.358974359,0.899011238,0.937333648,0.47826087,0.942193601,32,Female,Single,College,Public Servant,1,0,0
0.965009577,0.826086957,0.927563097,0.979275775,0.545454545,0.874560275,0.931779653,0.409090909,0.914908792,0.919023166,0.47826087,0.833013601,26,Female,Single,College,Private Sector Employee,1,1,1
0.304221198,1,0.828828183,0.990160628,0.520661157,0.881842587,0.925898091,0.314049587,0.969739029,0.941887958,0.48,0.80071422,57,Male,Married,College,Private Sector Employee,1,0,0
0.866725613,1,0.909982055,0.982329863,0.533333333,0.935881658,0.95755585,0.275,0.849079523,0.882501122,0.480769231,0.809129889,30,Male,Single,High School,Private Sector Employee,1,0,0
0.957307836,0.666666667,0.879315307,0.881120082,0.735294118,0.916729347,0.938988078,0.470588235,0.895293441,0.927229229,0.481481481,0.89506232,25,Female,Single,College,Private Sector Employee,1,1,0
0,1,1,0.830654589,0.810810811,0.85837054,0.932243839,0.432432432,0.598584965,0.917353643,0.482758621,0.879255773,29,Male,Single,College,Public Servant,0,1,1
